Experiment Number,Seq Length,Hidden Size,Learning Rate,Final Training Loss,Test RMSE,Test MAE,Test R2
1,5,64,0.001,0.0009990769073601634,10.63839820785019,7.511719975515019,0.8772893487533603
2,5,64,0.0001,0.0017854480451280539,14.483426524596966,10.636744085335568,0.7725570827845007
3,5,128,0.001,0.0009471913996691606,10.419284947591521,7.2425500741800395,0.8822921013240004
4,5,128,0.0001,0.0018548965721018084,14.8846169314766,11.019940234115612,0.7597822468869028
5,10,64,0.001,0.006071552760856562,33.433265882160235,26.684741319655135,-0.12448786452135807
6,10,64,0.0001,0.0029437382610364225,17.705881688759472,13.490227991430604,0.6846213538582621
7,10,128,0.001,0.004994313596534237,31.878888192474793,25.095163343958543,-0.02235918179749352
8,10,128,0.0001,0.0025309461934944866,16.499388144284463,12.305395210923674,0.7261373240933846
